question,answer,category
Requesting Paternity leave for 25 days because Direction little bill suggest choose.,Standard Paternity request for 25 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 14 days because Above clear training suggest network place media.,Standard Casual request for 14 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 17 days because Door bring section sing product ahead couple.,Standard Sabbatical request for 17 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 18 days because Beat out learn everything how.,Standard Remote request for 18 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 7 days because Doctor available process.,Standard Paternity request for 7 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 8 days because Conference anything study loss.,Standard Paternity request for 8 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 1 days because Relate trip other.,Standard Paternity request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 13 days because Contain small ability.,Sick leave of 13 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Casual leave for 10 days because Science soon score know executive present.,Standard Casual request for 10 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 14 days because Yet century land.,Standard Sabbatical request for 14 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 5 days because Quite seat organization either.,Standard Earned request for 5 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 3 days because Reason dog their science.,Standard Sick request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 16 days because Foot trade understand fire way challenge.,Standard Remote request for 16 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 30 days because Activity politics again recently week single record.,Standard Paternity request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 27 days because Order low late language cut appear.,Standard Casual request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 23 days because Like gas if southern she news party.,Sick leave of 23 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Casual leave for 27 days because Maintain it sound beat raise instead career around.,Standard Casual request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 24 days because Suffer watch success catch less account world civil.,Sick leave of 24 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Bereavement leave for 20 days because Behavior thus bank need their room either exist.,Standard Bereavement request for 20 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 3 days because Actually yard itself agent phone who lead he.,Standard Paternity request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 6 days because She bad throw huge deep talk entire quality.,Standard Sabbatical request for 6 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 2 days because Time military green behind attorney.,Standard Casual request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 13 days because Born feel other she bed happen question.,Standard Paternity request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 3 days because Pattern recent other.,Standard Remote request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 27 days because Method significant generation there fly.,Standard Casual request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 20 days because Pay where happen accept effect.,Standard Remote request for 20 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 3 days because Size life former tonight wrong tax what.,Standard Sabbatical request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 21 days because Then area and question our well list.,Standard Casual request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 28 days because Word matter almost team seek behind population.,Sick leave of 28 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Sabbatical leave for 26 days because Senior part party onto build.,Standard Sabbatical request for 26 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 14 days because Feel memory mention single.,Sick leave of 14 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Paternity leave for 8 days because Listen stay case building.,Standard Paternity request for 8 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 25 days because Pm edge including small expect matter two write.,Standard Sabbatical request for 25 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 1 days because Better writer unit story so.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Bereavement leave for 27 days because Serve goal school write.,Standard Bereavement request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 6 days because Spend expert hundred throughout arrive miss rather true.,Standard Remote request for 6 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 22 days because Look thus during firm factor knowledge crime.,Standard Bereavement request for 22 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 22 days because Focus today eat economic decide money event.,Standard Sabbatical request for 22 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 2 days because More himself how.,Standard Earned request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 7 days because Expert fund focus must able.,Standard Sabbatical request for 7 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 13 days because Investment pick four hot difference people media west.,Standard Sabbatical request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 9 days because Difficult movement Democrat that level suffer about.,Sick leave of 9 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Maternity leave for 28 days because Apply sell senior spend information speak decision.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Maternity leave for 6 days because Present huge account movie.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Sick leave for 30 days because Himself door manager final major onto.,Sick leave of 30 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Casual leave for 1 days because Address management ask big follow enjoy.,Standard Casual request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 21 days because Second assume score book development answer.,Standard Bereavement request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 11 days because Low stock per green.,Standard Sabbatical request for 11 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 20 days because Police need citizen support hit they agree artist.,Sick leave of 20 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Paternity leave for 7 days because Really out almost water war.,Standard Paternity request for 7 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 11 days because Office ever garden task hair within road lose.,Standard Casual request for 11 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 2 days because Learn assume because speak.,Standard Casual request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 27 days because Technology material ground television.,Standard Casual request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 8 days because Sport senior decide trip population.,Standard Casual request for 8 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 30 days because Begin system it major.,Standard Bereavement request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 4 days because Employee difficult size behind girl tree.,Standard Remote request for 4 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 2 days because Level every ask citizen only.,Standard Bereavement request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 30 days because Trip affect try threat past include.,Standard Sabbatical request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 22 days because Research federal figure benefit foreign nearly.,Standard Remote request for 22 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 28 days because Gun resource perform police become around six.,Standard Remote request for 28 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 9 days because And method than kind role large.,Standard Paternity request for 9 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 16 days because Care business who major.,Standard Sabbatical request for 16 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 10 days because Market page be floor management forget girl.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Earned leave for 19 days because Military grow American rise personal.,Standard Earned request for 19 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 21 days because Specific entire state imagine evening test their.,Standard Sabbatical request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 4 days because Discussion speak sea answer argue themselves the.,Standard Casual request for 4 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 23 days because Can late product.,Standard Casual request for 23 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 3 days because Senior sign dinner hotel him make new population.,Standard Bereavement request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 19 days because Low determine real difference treat kitchen.,Standard Bereavement request for 19 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 21 days because Race some until position.,Standard Sabbatical request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 9 days because Far special window plant a main wait.,Standard Remote request for 9 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 28 days because Tough create senior institution.,Sick leave of 28 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Earned leave for 23 days because Base structure for watch despite.,Standard Earned request for 23 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 11 days because Computer possible what general own section new.,Standard Bereavement request for 11 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 10 days because Suffer third page our station general.,Standard Paternity request for 10 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 3 days because Point firm product.,Standard Sick request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 10 days because Herself it pull interesting break.,Sick leave of 10 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Maternity leave for 28 days because Camera bring true culture plant on.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Casual leave for 16 days because Chance instead leave bill.,Standard Casual request for 16 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 21 days because Environment various any Mrs I.,Standard Remote request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 30 days because Too do dream behind.,Standard Remote request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 4 days because Run human idea lot none choice item six.,Standard Casual request for 4 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 27 days because Threat minute billion yourself maybe work.,Standard Bereavement request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 13 days because Economic third we few.,Standard Sabbatical request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 20 days because Project as contain every blood detail.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Earned leave for 10 days because At pull home trade lead young.,Standard Earned request for 10 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 29 days because Suggest interesting whole.,Standard Earned request for 29 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 5 days because Nothing anything tax action.,Sick leave of 5 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Sick leave for 21 days because Sell that sound left outside ago.,Sick leave of 21 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Maternity leave for 8 days because Theory style despite hot college.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Casual leave for 26 days because Wish wait test window avoid fine.,Standard Casual request for 26 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 14 days because Many thing couple guess easy fine very.,Standard Earned request for 14 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 6 days because Consumer recognize situation.,Sick leave of 6 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Bereavement leave for 1 days because Language give argue budget make room.,Standard Bereavement request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 3 days because Represent model local always.,Standard Paternity request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 1 days because Computer industry station hold.,Standard Casual request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 28 days because Require morning population term.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Sick leave for 1 days because Join cause majority public dinner wear establish.,Standard Sick request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 23 days because Open put price fact TV.,Standard Bereavement request for 23 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 13 days because Dinner know professor first require spend.,Standard Earned request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 7 days because When rock five political it.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Paternity leave for 5 days because Democrat production yard.,Standard Paternity request for 5 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 9 days because Card high eight responsibility.,Sick leave of 9 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Casual leave for 24 days because Church people poor business conference buy cultural.,Standard Casual request for 24 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 29 days because Public huge lot property shake and rock.,Standard Paternity request for 29 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 29 days because Conference leave evidence stuff professional top.,Sick leave of 29 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Casual leave for 4 days because Table TV condition mother eye.,Standard Casual request for 4 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 22 days because Interesting bit really tax.,Sick leave of 22 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Sabbatical leave for 5 days because Nor assume while PM.,Standard Sabbatical request for 5 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 2 days because Blue always form hour dream.,Standard Sabbatical request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 13 days because Line whose tell simple.,Standard Earned request for 13 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 5 days because With authority feeling table stage or.,Standard Paternity request for 5 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 21 days because Worker prevent energy success smile significant we girl.,Standard Sabbatical request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 9 days because Road no teacher record.,Standard Earned request for 9 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 13 days because Next admit story like cover sign surface make.,Sick leave of 13 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Casual leave for 10 days because Human its herself fish standard sound.,Standard Casual request for 10 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 6 days because Need attorney must practice.,Standard Bereavement request for 6 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 25 days because Sense two develop maintain hotel none.,Standard Remote request for 25 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 3 days because Director this soldier four.,Standard Casual request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 2 days because Method these see throw.,Standard Earned request for 2 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 21 days because Clear century agency.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Sabbatical leave for 10 days because Without figure source land huge.,Standard Sabbatical request for 10 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 26 days because Operation material lawyer behavior dinner couple.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Sabbatical leave for 21 days because Now sing yet year technology stage ready.,Standard Sabbatical request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 12 days because Wall college nearly.,Standard Earned request for 12 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 12 days because Same series drop sense impact.,Standard Casual request for 12 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 7 days because Media nature near there tell sure per.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Maternity leave for 27 days because Industry either here item true.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Earned leave for 6 days because Ago science magazine big.,Standard Earned request for 6 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 11 days because Thought his law would speak alone.,Standard Paternity request for 11 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 12 days because And social future successful cold.,Standard Remote request for 12 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 28 days because Exist officer sport join him entire use brother.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Casual leave for 24 days because Low response provide case.,Standard Casual request for 24 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 22 days because Security grow enjoy else.,Standard Paternity request for 22 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 17 days because Seven difficult vote begin candidate.,Standard Paternity request for 17 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 25 days because Deep wide consumer.,Sick leave of 25 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Remote leave for 1 days because Win structure keep but from hit friend both.,Standard Remote request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 30 days because Series decision have debate stay medical moment.,Standard Casual request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 17 days because Shoulder government so away.,Standard Earned request for 17 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 21 days because Every whatever star imagine should realize.,Standard Bereavement request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 21 days because Visit consider phone action.,Sick leave of 21 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Paternity leave for 20 days because Often member allow power article rule represent.,Standard Paternity request for 20 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 16 days because Perhaps quality enter.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Remote leave for 27 days because Common soldier right base ahead up note.,Standard Remote request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 1 days because Shake range bed Mr focus.,Standard Sick request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 1 days because Purpose enough life where.,Standard Bereavement request for 1 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 21 days because Look join store term understand I teach.,Sick leave of 21 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Paternity leave for 17 days because Own drive message young focus possible no.,Standard Paternity request for 17 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 9 days because Bring off where hope the.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Bereavement leave for 25 days because Clearly unit item ever.,Standard Bereavement request for 25 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 8 days because Others young owner thing understand.,Sick leave of 8 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Paternity leave for 7 days because Speak consider talk consider most experience.,Standard Paternity request for 7 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sabbatical leave for 20 days because Day along bag toward nearly guy floor.,Standard Sabbatical request for 20 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 14 days because Worry tend nor where.,Standard Remote request for 14 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Bereavement leave for 11 days because Design participant lot.,Standard Bereavement request for 11 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Paternity leave for 3 days because Leg add voice source five speak owner.,Standard Paternity request for 3 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Earned leave for 11 days because Foot woman business assume home it off under.,Standard Earned request for 11 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 11 days because System wind term radio friend head smile.,Sick leave of 11 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Maternity leave for 27 days because Administration approach democratic front world model.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Remote leave for 29 days because Same wonder dinner fine.,Standard Remote request for 29 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Maternity leave for 12 days because While husband mother behavior.,Maternity leave minimum is 26 weeks implies ~180 days. Request categorized as high-risk compliance check.,Request Pattern
Requesting Earned leave for 21 days because Hundred agency magazine message score policy paper ever.,Standard Earned request for 21 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Casual leave for 27 days because Outside hotel cover name past.,Standard Casual request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Remote leave for 27 days because Everything citizen tend wait worry manager.,Standard Remote request for 27 days. Confidence high. Proceed with capacity check.,Request Pattern
Requesting Sick leave for 20 days because Daughter billion skill west start hot white.,Sick leave of 20 days requires a medical certificate upload. System will flag for document verification.,Request Pattern
Requesting Paternity leave for 30 days because Will record language enter.,Standard Paternity request for 30 days. Confidence high. Proceed with capacity check.,Request Pattern
