metrics,prediction
"Rating: 1.2, Weekly Hours: 54, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 4.0, Weekly Hours: 70, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.2
"Rating: 4.6, Weekly Hours: 33, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 4.8
"Rating: 2.3, Weekly Hours: 30, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.5
"Rating: 3.1, Weekly Hours: 64, Projects: 5",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.3000000000000003
"Rating: 4.0, Weekly Hours: 47, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 4.2
"Rating: 1.7, Weekly Hours: 48, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.9
"Rating: 2.4, Weekly Hours: 64, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.6
"Rating: 2.1, Weekly Hours: 69, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.3000000000000003
"Rating: 2.0, Weekly Hours: 63, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.2
"Rating: 3.2, Weekly Hours: 51, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.4000000000000004
"Rating: 2.6, Weekly Hours: 40, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 2.8000000000000003
"Rating: 2.7, Weekly Hours: 51, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 2.9000000000000004
"Rating: 3.2, Weekly Hours: 39, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.4000000000000004
"Rating: 3.6, Weekly Hours: 46, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.8000000000000003
"Rating: 3.0, Weekly Hours: 31, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.2
"Rating: 3.4, Weekly Hours: 50, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.6
"Rating: 2.8, Weekly Hours: 65, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.0
"Rating: 1.8, Weekly Hours: 44, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.0
"Rating: 2.1, Weekly Hours: 38, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.3000000000000003
"Rating: 1.9, Weekly Hours: 33, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.1
"Rating: 1.5, Weekly Hours: 52, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.7
"Rating: 3.6, Weekly Hours: 55, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.8000000000000003
"Rating: 2.9, Weekly Hours: 51, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.1
"Rating: 2.3, Weekly Hours: 60, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.5
"Rating: 4.7, Weekly Hours: 61, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.9
"Rating: 1.3, Weekly Hours: 41, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5
"Rating: 2.2, Weekly Hours: 40, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 2.6, Weekly Hours: 69, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 2.8000000000000003
"Rating: 2.7, Weekly Hours: 43, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 2.9000000000000004
"Rating: 1.3, Weekly Hours: 70, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5
"Rating: 2.9, Weekly Hours: 45, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.1
"Rating: 1.3, Weekly Hours: 46, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5
"Rating: 2.7, Weekly Hours: 45, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 2.9000000000000004
"Rating: 3.4, Weekly Hours: 59, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.6
"Rating: 3.7, Weekly Hours: 34, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.9000000000000004
"Rating: 1.5, Weekly Hours: 38, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.7
"Rating: 1.2, Weekly Hours: 64, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 1.2, Weekly Hours: 68, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 2.2, Weekly Hours: 43, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 3.8, Weekly Hours: 43, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 4.0
"Rating: 2.4, Weekly Hours: 43, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.6
"Rating: 1.5, Weekly Hours: 57, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.7
"Rating: 2.4, Weekly Hours: 58, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.6
"Rating: 4.8, Weekly Hours: 56, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 5.0
"Rating: 1.1, Weekly Hours: 49, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.3
"Rating: 4.7, Weekly Hours: 69, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.9
"Rating: 4.1, Weekly Hours: 50, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 4.3
"Rating: 1.8, Weekly Hours: 39, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.0
"Rating: 1.6, Weekly Hours: 69, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.8
"Rating: 4.1, Weekly Hours: 62, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.3
"Rating: 4.2, Weekly Hours: 38, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 4.4
"Rating: 4.9, Weekly Hours: 55, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 5.0
"Rating: 2.2, Weekly Hours: 48, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 3.3, Weekly Hours: 59, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.5
"Rating: 2.8, Weekly Hours: 43, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.0
"Rating: 4.2, Weekly Hours: 46, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 4.4
"Rating: 4.6, Weekly Hours: 44, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 4.8
"Rating: 1.2, Weekly Hours: 48, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 3.4, Weekly Hours: 65, Projects: 5",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.6
"Rating: 2.3, Weekly Hours: 56, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.5
"Rating: 4.0, Weekly Hours: 37, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 4.2
"Rating: 2.6, Weekly Hours: 69, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 2.8000000000000003
"Rating: 2.8, Weekly Hours: 32, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 3.0
"Rating: 4.9, Weekly Hours: 67, Projects: 2",Risk Level: High Burnout Risk. Predicted Q4 Rating: 5.0
"Rating: 1.6, Weekly Hours: 38, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.8
"Rating: 4.7, Weekly Hours: 50, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 4.9
"Rating: 4.4, Weekly Hours: 44, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 4.6000000000000005
"Rating: 2.5, Weekly Hours: 44, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 2.7
"Rating: 1.7, Weekly Hours: 65, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.9
"Rating: 2.5, Weekly Hours: 35, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 2.7
"Rating: 1.8, Weekly Hours: 47, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.0
"Rating: 2.4, Weekly Hours: 49, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.6
"Rating: 3.2, Weekly Hours: 45, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.4000000000000004
"Rating: 2.9, Weekly Hours: 52, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 3.1
"Rating: 1.3, Weekly Hours: 32, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5
"Rating: 4.2, Weekly Hours: 68, Projects: 5",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.4
"Rating: 3.8, Weekly Hours: 41, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 4.0
"Rating: 2.2, Weekly Hours: 38, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 2.7, Weekly Hours: 36, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 2.9000000000000004
"Rating: 2.5, Weekly Hours: 53, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 2.7
"Rating: 4.7, Weekly Hours: 59, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.9
"Rating: 5.0, Weekly Hours: 50, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 5.0
"Rating: 1.8, Weekly Hours: 43, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.0
"Rating: 4.6, Weekly Hours: 59, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.8
"Rating: 1.0, Weekly Hours: 61, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.2
"Rating: 3.1, Weekly Hours: 52, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.3000000000000003
"Rating: 4.5, Weekly Hours: 65, Projects: 1",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.7
"Rating: 2.2, Weekly Hours: 54, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 3.3, Weekly Hours: 50, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.5
"Rating: 1.3, Weekly Hours: 58, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5
"Rating: 1.1, Weekly Hours: 69, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.3
"Rating: 3.0, Weekly Hours: 54, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 3.2
"Rating: 3.6, Weekly Hours: 40, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.8000000000000003
"Rating: 4.3, Weekly Hours: 37, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 4.5
"Rating: 2.1, Weekly Hours: 66, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.3000000000000003
"Rating: 3.0, Weekly Hours: 33, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 3.2
"Rating: 4.5, Weekly Hours: 33, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 4.7
"Rating: 2.2, Weekly Hours: 35, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 3.4, Weekly Hours: 70, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.6
"Rating: 3.4, Weekly Hours: 57, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.6
"Rating: 1.9, Weekly Hours: 44, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.1
"Rating: 2.8, Weekly Hours: 69, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.0
"Rating: 4.8, Weekly Hours: 53, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 5.0
"Rating: 1.9, Weekly Hours: 56, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.1
"Rating: 3.8, Weekly Hours: 55, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 4.0
"Rating: 4.8, Weekly Hours: 55, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 5.0
"Rating: 1.4, Weekly Hours: 30, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5999999999999999
"Rating: 1.7, Weekly Hours: 34, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.9
"Rating: 4.7, Weekly Hours: 45, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 4.9
"Rating: 2.9, Weekly Hours: 67, Projects: 2",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.1
"Rating: 1.2, Weekly Hours: 54, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 3.1, Weekly Hours: 46, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.3000000000000003
"Rating: 3.4, Weekly Hours: 39, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 3.6
"Rating: 3.0, Weekly Hours: 42, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 3.2
"Rating: 1.2, Weekly Hours: 60, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 4.3, Weekly Hours: 63, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.5
"Rating: 1.2, Weekly Hours: 30, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 4.7, Weekly Hours: 35, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 4.9
"Rating: 4.0, Weekly Hours: 70, Projects: 5",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.2
"Rating: 3.1, Weekly Hours: 30, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.3000000000000003
"Rating: 3.7, Weekly Hours: 54, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.9000000000000004
"Rating: 1.6, Weekly Hours: 65, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.8
"Rating: 3.3, Weekly Hours: 61, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.5
"Rating: 3.9, Weekly Hours: 47, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 4.1
"Rating: 3.2, Weekly Hours: 31, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 3.4000000000000004
"Rating: 4.4, Weekly Hours: 70, Projects: 1",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.6000000000000005
"Rating: 2.4, Weekly Hours: 34, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.6
"Rating: 3.1, Weekly Hours: 69, Projects: 1",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.3000000000000003
"Rating: 1.8, Weekly Hours: 65, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.0
"Rating: 3.3, Weekly Hours: 68, Projects: 1",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.5
"Rating: 1.1, Weekly Hours: 34, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.3
"Rating: 2.5, Weekly Hours: 55, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 2.7
"Rating: 1.6, Weekly Hours: 59, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.8
"Rating: 3.1, Weekly Hours: 61, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.3000000000000003
"Rating: 4.2, Weekly Hours: 57, Projects: 2",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.4
"Rating: 4.7, Weekly Hours: 34, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 4.9
"Rating: 2.6, Weekly Hours: 41, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 2.8000000000000003
"Rating: 2.9, Weekly Hours: 54, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.1
"Rating: 1.0, Weekly Hours: 42, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.2
"Rating: 2.2, Weekly Hours: 57, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 1.8, Weekly Hours: 62, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.0
"Rating: 2.2, Weekly Hours: 51, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.4000000000000004
"Rating: 4.4, Weekly Hours: 40, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 4.6000000000000005
"Rating: 3.3, Weekly Hours: 42, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.5
"Rating: 3.8, Weekly Hours: 33, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 4.0
"Rating: 4.1, Weekly Hours: 57, Projects: 1",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.3
"Rating: 2.5, Weekly Hours: 57, Projects: 5",Risk Level: High Burnout Risk. Predicted Q4 Rating: 2.7
"Rating: 4.3, Weekly Hours: 70, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.5
"Rating: 4.0, Weekly Hours: 55, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 4.2
"Rating: 2.7, Weekly Hours: 57, Projects: 4",Risk Level: High Burnout Risk. Predicted Q4 Rating: 2.9000000000000004
"Rating: 2.9, Weekly Hours: 63, Projects: 1",Risk Level: High Burnout Risk. Predicted Q4 Rating: 3.1
"Rating: 4.8, Weekly Hours: 63, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 5.0
"Rating: 4.8, Weekly Hours: 53, Projects: 2",Risk Level: Low. Predicted Q4 Rating: 5.0
"Rating: 1.7, Weekly Hours: 65, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.9
"Rating: 2.8, Weekly Hours: 33, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 3.0
"Rating: 1.4, Weekly Hours: 55, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.5999999999999999
"Rating: 2.1, Weekly Hours: 47, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.3000000000000003
"Rating: 3.9, Weekly Hours: 56, Projects: 3",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.1
"Rating: 3.5, Weekly Hours: 43, Projects: 5",Risk Level: Low. Predicted Q4 Rating: 3.7
"Rating: 4.3, Weekly Hours: 47, Projects: 3",Risk Level: Low. Predicted Q4 Rating: 4.5
"Rating: 4.3, Weekly Hours: 66, Projects: 2",Risk Level: High Burnout Risk. Predicted Q4 Rating: 4.5
"Rating: 1.2, Weekly Hours: 53, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.4
"Rating: 2.1, Weekly Hours: 64, Projects: 4",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.3000000000000003
"Rating: 3.6, Weekly Hours: 52, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 3.8000000000000003
"Rating: 2.8, Weekly Hours: 53, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.0
"Rating: 1.5, Weekly Hours: 33, Projects: 1",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.7
"Rating: 1.5, Weekly Hours: 66, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.7
"Rating: 3.3, Weekly Hours: 40, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.5
"Rating: 1.9, Weekly Hours: 67, Projects: 2",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.1
"Rating: 4.7, Weekly Hours: 33, Projects: 1",Risk Level: Low. Predicted Q4 Rating: 4.9
"Rating: 2.4, Weekly Hours: 42, Projects: 5",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 2.6
"Rating: 2.5, Weekly Hours: 53, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 2.7
"Rating: 1.1, Weekly Hours: 55, Projects: 3",Risk Level: Performance Improvement Plan (PIP) Needed. Predicted Q4 Rating: 1.3
"Rating: 2.8, Weekly Hours: 30, Projects: 4",Risk Level: Low. Predicted Q4 Rating: 3.0
