candidate_profile,analysis
"Role: Data Scientist, Exp: 5 years, Skills: return, whole, social, half, so",Score: 71/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 12 years, Skills: far, early, as, daughter, author",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 10 years, Skills: fine, true, would, effort, follow",Score: 85/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 15 years, Skills: police, audience, since, unit, information",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 12 years, Skills: community, whose, five, ball, American",Score: 97/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 4 years, Skills: ever, later, that, read, activity",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 11 years, Skills: arm, vote, society, member, and",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 3 years, Skills: indicate, rich, now, over, ok",Score: 82/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 5 years, Skills: staff, candidate, miss, race, future",Score: 89/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 8 years, Skills: operation, along, station, reason, exactly",Score: 82/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 8 years, Skills: though, movie, line, push, when",Score: 73/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 12 years, Skills: later, could, deal, team, must",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 10 years, Skills: protect, north, mention, class, sure",Score: 76/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 9 years, Skills: must, population, become, community, hundred",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 15 years, Skills: physical, seek, report, radio, ask",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: behavior, according, eye, reveal, reality",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: partner, window, research, event, executive",Score: 98/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 12 years, Skills: wife, president, someone, gas, a",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 13 years, Skills: purpose, represent, author, attention, current",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 5 years, Skills: child, those, physical, home, work",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 0 years, Skills: key, season, city, her, keep",Score: 71/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 12 years, Skills: listen, trip, significant, true, power",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 14 years, Skills: can, audience, certainly, foot, development",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 7 years, Skills: professor, left, such, office, leg",Score: 80/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 9 years, Skills: lawyer, resource, actually, part, worry",Score: 80/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 3 years, Skills: family, no, wait, travel, policy",Score: 88/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 7 years, Skills: term, most, else, speech, participant",Score: 85/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 3 years, Skills: put, college, would, risk, young",Score: 86/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 6 years, Skills: decision, society, nearly, baby, capital",Score: 87/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 5 years, Skills: recognize, candidate, smile, same, similar",Score: 70/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 2 years, Skills: month, himself, truth, letter, board",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 7 years, Skills: main, local, international, six, travel",Score: 81/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 7 years, Skills: consumer, real, for, less, half",Score: 87/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 15 years, Skills: television, buy, development, rock, know",Score: 94/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 8 years, Skills: challenge, player, go, forget, process",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 10 years, Skills: else, arm, purpose, tough, class",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 10 years, Skills: practice, religious, guess, analysis, house",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 13 years, Skills: career, name, mother, half, their",Score: 99/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 0 years, Skills: deep, do, budget, history, front",Score: 60/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 12 years, Skills: any, beautiful, parent, certain, lay",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 2 years, Skills: hit, other, be, stock, leader",Score: 77/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 12 years, Skills: kitchen, it, affect, drug, choice",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: change, everyone, whom, technology, remember",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 9 years, Skills: whether, staff, option, company, force",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 9 years, Skills: certain, drug, general, guy, start",Score: 80/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 15 years, Skills: rich, dream, seek, truth, account",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 13 years, Skills: move, east, all, without, friend",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 11 years, Skills: inside, travel, especially, black, across",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 12 years, Skills: station, energy, foreign, art, better",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 5 years, Skills: himself, sport, page, family, prove",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 10 years, Skills: career, house, ask, interesting, drive",Score: 89/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 2 years, Skills: agent, travel, information, customer, see",Score: 80/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 15 years, Skills: but, against, class, pass, operation",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 12 years, Skills: notice, laugh, live, area, best",Score: 92/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 8 years, Skills: option, big, will, opportunity, attention",Score: 73/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 8 years, Skills: glass, company, none, room, apply",Score: 89/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 13 years, Skills: situation, deep, hour, beautiful, benefit",Score: 97/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 3 years, Skills: table, writer, play, painting, stay",Score: 75/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 13 years, Skills: hold, evidence, event, life, town",Score: 98/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 5 years, Skills: middle, network, the, improve, appear",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 9 years, Skills: water, exist, could, would, stage",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 6 years, Skills: cold, sister, air, onto, style",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 7 years, Skills: rock, enter, soldier, expect, scene",Score: 76/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 4 years, Skills: with, outside, show, science, official",Score: 89/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 9 years, Skills: now, on, oil, piece, environment",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 2 years, Skills: goal, move, buy, south, score",Score: 75/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 5 years, Skills: learn, physical, already, listen, white",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 14 years, Skills: already, themselves, center, about, management",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 7 years, Skills: necessary, budget, whom, sit, behavior",Score: 82/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 2 years, Skills: write, condition, seat, certainly, four",Score: 78/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 5 years, Skills: stage, treatment, summer, heart, best",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 1 years, Skills: two, quality, detail, rate, by",Score: 75/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 15 years, Skills: wife, hot, movement, skin, outside",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 9 years, Skills: out, eat, probably, organization, notice",Score: 90/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 0 years, Skills: home, remember, control, professional, else",Score: 76/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 15 years, Skills: bill, history, enjoy, law, white",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 13 years, Skills: important, door, him, black, ahead",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 12 years, Skills: race, story, owner, follow, she",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 6 years, Skills: another, note, door, goal, now",Score: 90/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 8 years, Skills: drop, strategy, try, present, hotel",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 15 years, Skills: recognize, item, pretty, side, upon",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 3 years, Skills: yeah, federal, figure, respond, friend",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 13 years, Skills: skill, allow, true, recently, accept",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 14 years, Skills: situation, maybe, Republican, foreign, sit",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 9 years, Skills: game, city, prepare, outside, imagine",Score: 77/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 2 years, Skills: contain, we, pull, more, place",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 15 years, Skills: success, option, who, six, only",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 14 years, Skills: player, most, character, option, ask",Score: 95/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 14 years, Skills: officer, town, financial, experience, science",Score: 98/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 14 years, Skills: fight, process, give, which, together",Score: 92/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 2 years, Skills: everything, land, several, hospital, successful",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 4 years, Skills: pattern, partner, which, cover, office",Score: 88/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 3 years, Skills: book, different, community, see, now",Score: 77/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 1 years, Skills: listen, adult, oil, white, able",Score: 76/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 15 years, Skills: citizen, his, through, minute, account",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 13 years, Skills: food, sport, decide, game, trouble",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 6 years, Skills: country, training, system, that, none",Score: 76/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 1 years, Skills: near, even, both, produce, can",Score: 77/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 5 years, Skills: oil, specific, mind, stop, about",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 4 years, Skills: feel, maintain, plant, over, dog",Score: 81/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 5 years, Skills: be, risk, choose, growth, return",Score: 75/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 15 years, Skills: business, form, involve, performance, total",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 11 years, Skills: wish, available, baby, over, may",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 11 years, Skills: sound, push, support, east, perform",Score: 93/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 5 years, Skills: color, as, today, if, action",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 4 years, Skills: test, may, data, glass, player",Score: 70/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 15 years, Skills: site, about, black, old, call",Score: 96/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 7 years, Skills: economic, lead, figure, attack, good",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 7 years, Skills: individual, ten, defense, now, happy",Score: 75/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 12 years, Skills: Mrs, manage, growth, defense, hundred",Score: 92/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 12 years, Skills: recent, particularly, way, statement, peace",Score: 99/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 14 years, Skills: table, woman, conference, when, money",Score: 100/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 3 years, Skills: three, stock, trouble, move, soon",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 5 years, Skills: third, finish, audience, address, international",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 8 years, Skills: team, real, director, night, town",Score: 85/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 7 years, Skills: its, little, front, soldier, beat",Score: 76/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 1 years, Skills: perform, site, town, see, red",Score: 61/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 3 years, Skills: number, phone, same, artist, my",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 2 years, Skills: score, all, practice, as, drug",Score: 85/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 12 years, Skills: already, debate, year, serve, natural",Score: 99/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 5 years, Skills: security, significant, man, mention, daughter",Score: 85/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 3 years, Skills: table, rule, just, degree, matter",Score: 80/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 7 years, Skills: least, live, tax, change, court",Score: 88/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 2 years, Skills: Republican, occur, discussion, actually, baby",Score: 87/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 14 years, Skills: wonder, size, up, cup, always",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 4 years, Skills: fight, little, miss, gas, write",Score: 81/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 9 years, Skills: unit, really, concern, base, born",Score: 79/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 2 years, Skills: born, race, response, standard, minute",Score: 73/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 15 years, Skills: behavior, special, describe, analysis, TV",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 0 years, Skills: figure, watch, enough, body, cultural",Score: 69/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 11 years, Skills: enjoy, hotel, let, just, service",Score: 91/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 14 years, Skills: west, four, short, culture, first",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 6 years, Skills: seek, week, pull, model, sport",Score: 70/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 15 years, Skills: stuff, religious, skin, a, care",Score: 99/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: Designer, Exp: 5 years, Skills: movie, rich, traditional, note, least",Score: 74/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 5 years, Skills: anyone, computer, theory, determine, right",Score: 83/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 2 years, Skills: question, thus, outside, high, claim",Score: 88/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Data Scientist, Exp: 14 years, Skills: have, positive, chair, production, card",Score: 90/100. Decision: Strong Hire. ROI Prediction: Strong long-term potential.
"Role: HR Specialist, Exp: 4 years, Skills: often, easy, economic, social, cover",Score: 84/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Product Manager, Exp: 7 years, Skills: research, over, prevent, believe, hope",Score: 72/100. Decision: Consider. ROI Prediction: Strong long-term potential.
"Role: Software Engineer, Exp: 0 years, Skills: continue, research, moment, plant, work",Score: 72/100. Decision: Junior / Training. ROI Prediction: Strong long-term potential.
